file,metric,DertResNet50_pre_BB426,insightface_pre_BB426,YOLOv8x_pre_BB426,YOLOv8x_pre_BB426_SAHI,YOLOv8x_BB158_500_t16_b,YOLOv8x_BB426_760_t31_b,best_model_name
2022-09-02_15-00-16.jpg,f1score,0.588,0.000,0.909,1.000,0.857,0.923,YOLOv8x_pre_BB426_SAHI
2022-09-02_15-00-16.jpg,support,6.000,0.000,6.000,6.000,6.000,6.000,DertResNet50_pre_BB426
2022-09-02_15-00-16.jpg,mAP,0.301,0.000,0.590,0.764,0.803,0.797,YOLOv8x_BB158_500_t16_b
2022-09-02_15-50-16.jpg,accuracy,0.170,0.000,0.158,0.306,0.617,0.636,YOLOv8x_BB426_760_t31_b
2022-09-02_15-50-16.jpg,precision,0.773,0.000,1.000,0.909,0.780,0.824,YOLOv8x_pre_BB426
2022-09-02_15-50-16.jpg,recall,0.179,0.000,0.158,0.316,0.747,0.737,YOLOv8x_BB158_500_t16_b
2022-09-02_15-50-16.jpg,f1score,0.291,0.000,0.273,0.469,0.763,0.778,YOLOv8x_BB426_760_t31_b
2022-09-02_15-50-16.jpg,support,95.000,0.000,95.000,95.000,95.000,95.000,DertResNet50_pre_BB426
2022-09-02_15-50-16.jpg,mAP,0.070,0.000,0.080,0.166,0.378,0.341,YOLOv8x_BB158_500_t16_b
2022-09-04_14-43-18.jpg,accuracy,0.462,0.000,0.600,0.727,0.692,0.800,YOLOv8x_BB426_760_t31_b
2022-09-04_14-43-18.jpg,precision,0.667,0.000,1.000,0.889,0.750,1.000,YOLOv8x_pre_BB426
2022-09-04_14-43-18.jpg,recall,0.600,0.000,0.600,0.800,0.900,0.800,YOLOv8x_BB158_500_t16_b
2022-09-04_14-43-18.jpg,f1score,0.632,0.000,0.750,0.842,0.818,0.889,YOLOv8x_BB426_760_t31_b
2022-09-04_14-43-18.jpg,support,10.000,0.000,10.000,10.000,10.000,10.000,DertResNet50_pre_BB426
2022-09-04_14-43-18.jpg,mAP,0.247,0.000,0.347,0.419,0.605,0.628,YOLOv8x_BB426_760_t31_b
2022-09-04_15-31-23.jpg,accuracy,0.267,0.000,0.268,0.474,0.746,0.733,YOLOv8x_BB158_500_t16_b
2022-09-04_15-31-23.jpg,precision,0.727,0.000,0.882,0.900,0.898,0.880,YOLOv8x_pre_BB426_SAHI
2022-09-04_15-31-23.jpg,recall,0.296,0.000,0.278,0.500,0.815,0.815,YOLOv8x_BB158_500_t16_b
2022-09-04_15-31-23.jpg,f1score,0.421,0.000,0.423,0.643,0.854,0.846,YOLOv8x_BB158_500_t16_b
2022-09-04_15-31-23.jpg,support,54.000,0.000,54.000,54.000,54.000,54.000,DertResNet50_pre_BB426
2022-09-04_15-31-23.jpg,mAP,0.119,0.000,0.133,0.270,0.514,0.474,YOLOv8x_BB158_500_t16_b
2022-09-07_17-45-59.jpg,accuracy,0.200,0.000,0.222,0.545,0.700,0.889,YOLOv8x_BB426_760_t31_b
2022-09-07_17-45-59.jpg,precision,0.667,0.000,1.000,0.750,0.875,1.000,YOLOv8x_pre_BB426
2022-09-07_17-45-59.jpg,recall,0.222,0.000,0.222,0.667,0.778,0.889,YOLOv8x_BB426_760_t31_b
2022-09-07_17-45-59.jpg,f1score,0.333,0.000,0.364,0.706,0.824,0.941,YOLOv8x_BB426_760_t31_b
2022-09-07_17-45-59.jpg,support,9.000,0.000,9.000,9.000,9.000,9.000,DertResNet50_pre_BB426
2022-09-07_17-45-59.jpg,mAP,0.012,0.000,0.000,0.279,0.423,0.388,YOLOv8x_BB158_500_t16_b
2022-09-08_08-50-16.jpg,accuracy,1.000,0.000,1.000,1.000,1.000,1.000,DertResNet50_pre_BB426
2022-09-08_08-50-16.jpg,precision,1.000,0.000,1.000,1.000,1.000,1.000,DertResNet50_pre_BB426
2022-09-08_08-50-16.jpg,recall,1.000,0.000,1.000,1.000,1.000,1.000,DertResNet50_pre_BB426
